baseobjectIdentifier,blastModified,baselastModifiedBy,basedeleted,baseobjectCreationDateTime,exchangeRateAreaIndetifier,exchangeRateAreaName,exchangeRateAreaStartDate,exchangeRateAreaEndDate,constrainingInsuranceMarketLevelType,ns3objectIdentifier,ns3lastModified,ns3lastModifiedBy,ns3deleted,ns3objectCreationDateTime,ns2referenceTypeName,ns2referenceTypeCode,ns2resourceIdentifier,ns2zipCode,ns2statePostalCode
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,777575,2019-11-26T20:16:41.436-05:00,"",false,2019-11-26T20:16:41.436-05:00,CountyPlace,48245,ffe.county.names.fips.Jefferson,77629,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,247755,2019-11-26T20:16:41.413-05:00,"",false,2019-11-26T20:16:41.413-05:00,CountyPlace,48245,ffe.county.names.fips.Jefferson,77622,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,993819,2019-11-26T20:16:41.590-05:00,"",false,2019-11-26T20:16:41.590-05:00,CountyPlace,48361,ffe.county.names.fips.Orange,77662,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,1205828,2019-11-26T20:16:41.435-05:00,"",false,2019-11-26T20:16:41.435-05:00,CountyPlace,48361,ffe.county.names.fips.Orange,77626,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,913270,2019-11-26T20:16:41.457-05:00,"",false,2019-11-26T20:16:41.457-05:00,CountyPlace,48361,ffe.county.names.fips.Orange,77639,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,426909,2019-11-26T20:16:41.456-05:00,"",false,2019-11-26T20:16:41.456-05:00,CountyPlace,48361,ffe.county.names.fips.Orange,77632,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,1110837,2019-11-26T20:16:41.665-05:00,"",false,2019-11-26T20:16:41.665-05:00,CountyPlace,48361,ffe.county.names.fips.Orange,77670,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,708029,2019-11-26T20:16:41.319-05:00,"",false,2019-11-26T20:16:41.319-05:00,CountyPlace,48361,ffe.county.names.fips.Orange,77611,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,1082747,2019-11-26T20:16:41.452-05:00,"",false,2019-11-26T20:16:41.452-05:00,CountyPlace,48361,ffe.county.names.fips.Orange,77631,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,710562,2019-11-26T20:16:41.449-05:00,"",false,2019-11-26T20:16:41.449-05:00,CountyPlace,48361,ffe.county.names.fips.Orange,77630,48
